Province,Electoral District Name/Nom de circonscription,Electoral District Number,Candidate/Candidat,Candidate Residence/Résidence du candidat,Candidate Occupation/Profession du candidat,Votes Obtained/Votes obtenus,Percentage of Votes Obtained,Majority/Majorité,Majority Percentage/Pourcentage de majorité
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Scott Andrews ** Liberal/Libéral","Conception Bay South, N.L./T.-N.-L.","Parliamentarian/",16008,44,      1259,   3.5
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Fabian Manning Conservative/Conservateur","St. Bride's, N.L./T.-N.-L.","Business Manager/",14749,40.5,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Matthew Martin Fuchs NDP-New Democratic Party/NPD-Nouveau Parti démocratique","St. John's, N.L./T.-N.-L.","Coordinator/",5157,14.2,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Randy Wayne Dawe Independent/Indépendant","Bay Roberts, N.L./T.-N.-L.","Manager/",276,.8,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Matt Crowder Green Party/Parti Vert","St. John's, N.L./T.-N.-L.","Student/",218,.6,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Gander--Grand Falls--Windsor","10002","Scott Simms ** Liberal/Libéral","Bishop's Falls, N.L./T.-N.-L.","Parliamentarian/",17977,57.7,      9382,  30.1
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Gander--Grand Falls--Windsor","10002","Aaron Hynes Conservative/Conservateur","Eastport, N.L./T.-N.-L.","Policy Advisor/",8595,27.6,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Gander--Grand Falls--Windsor","10002","Clyde Bridger NDP-New Democratic Party/NPD-Nouveau Parti démocratique","St. John's, N.L./T.-N.-L.","Security Guard/",4306,13.8,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Gander--Grand Falls--Windsor","10002","Robyn Kenny Green Party/Parti Vert","Carp, Ont.","Videographer/",279,.9,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Humber--St. Barbe--Baie Verte","10003","Gerry Byrne ** Liberal/Libéral","Corner Brook, N.L./T.-N.-L.","Parliamentarian/",17119,57,      9560,  31.9
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Humber--St. Barbe--Baie Verte","10003","Trevor Taylor Conservative/Conservateur","Kelligrews, N.L./T.-N.-L.","Environmental Consultant/",7559,25.2,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Humber--St. Barbe--Baie Verte","10003","Shelley Senior NDP-New Democratic Party/NPD-Nouveau Parti démocratique","McIver's, N.L./T.-N.-L.","Lawyer/",4751,15.8,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Humber--St. Barbe--Baie Verte","10003","Wayne R. Bennett Independent/Indépendant","Pasadena, N.L./T.-N.-L.","Retired/",332,1.1,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Humber--St. Barbe--Baie Verte","10003","Robin Blair Gosse Green Party/Parti Vert","Corner Brook, N.L./T.-N.-L.","Student/",253,.8,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","10004","Peter Penashue Conservative/Conservateur","Sheshatshiu, N.L./T.-N.-L.","Businessman/",4256,39.8,        79,   0.7
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","10004","Todd Russell ** Liberal/Libéral","Goose Bay, N.L./T.-N.-L.","Parliamentarian/",4177,39.1,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","10004","Jacob Larkin NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Nain, N.L./T.-N.-L.","School Principal/Teacher/",2120,19.8,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","10004","George C.R. Barrett Green Party/Parti Vert","Happy Valley-Goose Bay, N.L./T.-N.-L.","Pilot/",139,1.3,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Random--Burin--St. George's","10005","Judy Foote ** Liberal/Libéral","St. John's, N.L./T.-N.-L.","Parliamentarian/",12914,49.7,      4592,  17.7
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Random--Burin--St. George's","10005","John Ottenheimer Conservative/Conservateur","Mount Carmel, N.L./T.-N.-L.","Lawyer/",8322,32,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Random--Burin--St. George's","10005","Stella Magalios NDP-New Democratic Party/NPD-Nouveau Parti démocratique","St. John's, N.L./T.-N.-L.","Waitress/",4465,17.2,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Random--Burin--St. George's","10005","Tanya Gutmanis Green Party/Parti Vert","Ottawa, Ont.","Student/",307,1.2,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's East/St. John's-Est","10006","Jack Harris ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","St. John's, N.L./T.-N.-L.","Lawyer/",31388,71.2,     22190,  50.3
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's East/St. John's-Est","10006","Jerry Byrne Conservative/Conservateur","St. John's, N.L./T.-N.-L.","Retired Eng./Businessman/",9198,20.9,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's East/St. John's-Est","10006","John Allan Liberal/Libéral","St. John's, N.L./T.-N.-L.","Business Owner/",3019,6.9,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's East/St. John's-Est","10006","Robert Miller Green Party/Parti Vert","St. John's, N.L./T.-N.-L.","Architectural Engineering Technologist/",467,1.1,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl","10007","Ryan Cleary NDP-New Democratic Party/NPD-Nouveau Parti démocratique","St. John's, N.L./T.-N.-L.","Journalist/Writer/",18681,47.9,      7551,  19.4
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl","10007","Siobhan Coady ** Liberal/Libéral","St. John's, N.L./T.-N.-L.","Parliamentarian/",11130,28.5,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl","10007","Loyola Sullivan Conservative/Conservateur","St. John's, N.L./T.-N.-L.","Diplomat/",8883,22.8,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl","10007","Rick Austin Green Party/Parti Vert","Paradise, N.L./T.-N.-L.","Graphic Artist/",291,.7,,
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan","11001","Lawrence MacAulay ** Liberal/Libéral","St. Peters Bay, P.E.I./Î.-P.-É.","Farmer/",10486,49.6,      2379,  11.3
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan","11001","Mike Currie Conservative/Conservateur","Cardigan, P.E.I./Î.-P.-É.","Private Sector - Self-employed/",8107,38.4,,
